ID,Crop type,Water treatment,Fertiliser treatment,Total fresh weight (g),Head fresh weight (g)
2A107,Broccoli,W-,N-,1663.1,736.6
2A109,Broccoli,W-,N-,1704.1,657.9
2A110,Broccoli,W-,N-,1295.8,462.3
2A111,Broccoli,W-,N-,1931.6,853.2
2A113,Broccoli,W-,N-,976.8,204.5
2A117,Broccoli,W-,N-,1461.9,62.9
2A119,Broccoli,W-,N-,1631.2,736.8
2A121,Broccoli,W-,N-,1631.5,645.6
2A122,Broccoli,W-,N-,1002.8,174.9
2A125,Broccoli,W-,N-,1363.9,483.5
2A127,Broccoli,W-,N-,716.6,157.8
2A130,Broccoli,W-,N-,1412.6,511.3
2A131,Broccoli,W-,N-,1309.6,488.7
2A132,Broccoli,W-,N-,1201.3,343.5
2A134,Broccoli,W-,N-,2002.2,817.5
2A136,Broccoli,W-,N-,1689.4,800.0
2A138,Broccoli,W-,N-,725.0,100.0
2A139,Broccoli,W-,N-,2202.8,1016.5
2A141,Broccoli,W-,N-,1048.2,431.5
2A142,Broccoli,W-,N-,711.2,149.5
2A143,Broccoli,W-,N-,1601.7,219.9
3A1,Cauliflower,W+,N-,2528.5,762.0
3A2,Cauliflower,W+,N-,1495.5,150.0
3A4,Cauliflower,W+,N-,1318.5,244.6
3A5,Cauliflower,W+,N-,900.4,111.8
3A6,Cauliflower,W+,N-,2549.6,923.2
3A7,Cauliflower,W+,N-,2237.3,797.4
3A8,Cauliflower,W+,N-,1344.4,150.2
3A9,Cauliflower,W+,N-,2602.8,615.5
3A17,Cauliflower,W+,N-,3700.5,1464.8
3A20,Cauliflower,W+,N-,4364.7,1679.8
3A24,Cauliflower,W+,N-,2332.0,322.8
3A25,Cauliflower,W+,N-,2602.7,537.1
3A27,Cauliflower,W+,N-,1559.1,413.4
3A28,Cauliflower,W+,N-,2217.7,601.8
3A29,Cauliflower,W+,N-,2268.8,393.2
3A30,Cauliflower,W+,N-,3947.3,1057.2
3A37,Cauliflower,W+,N+,4841.0,1700.3
3A39,Cauliflower,W+,N+,2980.6,1007.7
3A40,Cauliflower,W+,N+,1991.5,441.2
3A41,Cauliflower,W+,N+,2228.1,723.7
3A42,Cauliflower,W+,N+,2676.3,680.4
3A43,Cauliflower,W+,N+,3298.0,789.2
3A44,Cauliflower,W+,N+,3105.2,906.3
3A48,Cauliflower,W+,N+,4485.5,2630.3
3A51,Cauliflower,W+,N+,3621.1,1181.1
3A54,Cauliflower,W+,N+,3508.0,1229.9
3A59,Cauliflower,W+,N+,3631.5,1171.4
3A60,Cauliflower,W+,N+,3854.4,1451.3
3A62,Cauliflower,W+,N+,2613.0,348.1
3A65,Cauliflower,W+,N+,2261.9,417.5
3A67,Cauliflower,W+,N+,2191.9,612.0
3A68,Cauliflower,W-,N+,1532.5,263.8
3A70,Cauliflower,W-,N+,2278.2,767.2
3A71,Cauliflower,W-,N+,1991.5,252.0
3A74,Cauliflower,W-,N+,2031.2,385.7
3A81,Cauliflower,W-,N+,2268.2,262.0
3A82,Cauliflower,W-,N+,2959.4,296.3
3A87,Cauliflower,W-,N+,1278.5,245.6
3A88,Cauliflower,W-,N+,1934.5,872.1
3A89,Cauliflower,W-,N+,1795.4,582.5
3A90,Cauliflower,W-,N+,2319.1,1185.4
3A93,Cauliflower,W-,N+,2254.5,512.1
3A94,Cauliflower,W-,N+,2067.9,568.2
3A95,Cauliflower,W-,N+,2459.3,1085.3
3A96,Cauliflower,W-,N+,1899.7,295.7
3A98,Cauliflower,W-,N+,3009.6,545.8
3A99,Cauliflower,W-,N+,1759.2,382.8
3A100,Cauliflower,W-,N+,2873.8,976.1
3A106,Cauliflower,W-,N-,2125.0,835.6
3A107,Cauliflower,W-,N-,2101.2,429.8
3A108,Cauliflower,W-,N-,2421.2,664.1
3A110,Cauliflower,W-,N-,2457.2,631.7
3A111,Cauliflower,W-,N-,1409.2,558.5
